1,NULL,radiator,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
2,NULL,radiator_fan,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
3,NULL,turbo_charger,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
4,NULL,gear_box,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
5,NULL,drive_shaft,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
6,NULL,truck_fame,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
7,NULL,air_compressor,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
8,NULL,sand_box,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
9,NULL,diesel_engine,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
10,NULL,main_altermator,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
11,NULL,air_intakes,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
12,NULL,electronic_controls,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
13,NULL,batteries,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
14,NULL,pinion_gear,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
15,NULL,wheel,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
16,NULL,brake_hanger,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
17,NULL,queen_casting,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
18,NULL,axle,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
19,NULL,side_bearer,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
20,NULL,frame,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
21,NULL,bolster,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
22,NULL,coil_spring,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
23,NULL,spring_plank,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
24,NULL,seing_link,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
25,NULL,axle_box,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
26,NULL,horn_cheek,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
27,NULL,brake_ringging,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
28,NULL,brake_block,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
29,NULL,rail,A,A,NULL,NULL,0,0,NULL,1,0,ใช้ได้,NULL,NULL,NULL
30,NULL,radiator,A,A,NULL,NULL,0,0,NULL,2,0,ใช้ได้,NULL,NULL,NULL
31,NULL,radiator_fan,A,A,NULL,NULL,0,0,NULL,2,0,ใช้ได้,NULL,NULL,NULL
32,NULL,turbo_charger,A,A,NULL,NULL,0,0,NULL,2,0,ใช้ได้,NULL,NULL,NULL
33,NULL,gear_box,A,A,NULL,NULL,0,0,NULL,2,0,ใช้ได้,NULL,NULL,NULL
